Nombre y tensión del nudo;Código de subestación;Comunidad Autónoma;POSICIONES;;;;;;CRITERIO DE POTENCIA DE CORTOCIRCUITO (WSCR);;;;CRITERIO ESTÁTICO DEMANDA;;;;CRITERIO ESTÁTICO ALMACENAMIENTO;;;CRITERIO DINÁMICO 1;CRITERIO DINÁMICO 2;SITUACIÓN NUDO CAPACIDAD DE ACCESO OTORGADA;;;;;;;;;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO EN CURSO Y PENDIENTE DE RESOLVER;;MARGEN CAPACIDAD DE ACCESO TOTAL PARA CONEXIÓN A LA RDT;;;;;CRITERIOS LIMITANTES;;;;;CAPACIDAD DE ACCESO NO OTORGABLE EN RDT;;;;;;CAPACIDAD DE ACCESO DISPONIBLE PARA SOLICITUDES CRITERIO GENERAL;;;;;Nudo de concurso
;;;Gen/Alm a la red de transporte;;Consumo a la red de transporte;;A red de distribución;;Capacidad de acceso nodal;Binudos;Afección de CS a seguridad del sistema;Margen no ocupado;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen no ocupado;Limitaciones temporales de acceso por configuración de la subestación;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen no ocupado;Margen no ocupado;Margen no ocupado;Capacidad de acceso para consumo en la RdD (valor de referencia);Estado acuerdo sobre capacidad de acceso para consumo en la RdD (valor de referencia);Capacidad de acceso otorgada a demanda adicional al valor de referencia;Capacidad de acceso otorgada demanda CEP con afección a WSCR;Capacidad de acceso otorgada demanda RdT;Capacidad de acceso demanda con aceptabilidad RdD;Capacidad de acceso demanda con aceptabilidad RdD no incluida en el valor de referencia;Capacidad de acceso otorgada almacenamiento adicional al valor de referencia;Capacidad de acceso otorgada almacenamiento RdT;Capacidad de acceso almacenamiento con aceptabilidad RdD;Capacidad de acceso  almacenamiento con aceptabilidad RdD no incluida en el valor de referencia;Capacidad de acceso otorgada demanda CH RdT;Capacidad de acceso otorgada demanda SH RdT;Capacidad de acceso CH con aceptabilidad en RdD;Capacidad de acceso SH con aceptabilidad en RdD;Capacidad de acceso solicitada en curso y pendiente resolver demanda RdT;Capacidad de acceso solicitada en curso y pendiente resolver almacenamiento RdT;DEMANDA;;;ALMACENAMIENTO;;DEMANDA;;;ALMACENAMIENTO;;DEMANDA;;;ALMACENAMIENTO;;Motivo capacidad no otorgable en RdT;DEMANDA;;;ALMACENAMIENTO;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CEP;;NO CEP;CEP (MPE);NO CEP (MGES);CEP;;NO CEP;CEP (MPE);NO CEP (MGES);CEP;;NO CEP;CEP (MPE);NO CEP (MGES);;CEP;;NO CEP;CEP (MPE);NO CEP (MGES);
;;;E;P;E;P;E;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CH;SH;;;;CH;SH;;;;CH;SH;;;;;CH;SH;;;;
ACECA 220;50003;Castilla-La Mancha;✓;;;;✓;✓;928; N/A ;  ;751;831;N/A;92;No;1248;N/A;509;0;0;562;SI;177;177;177;0;0;0;0;0;0;0;177;0;0;183;0;0;0;0;0;0;Din1_Zona;Din2_Zona;Din1_Zona;Din1_Zona;Din1_Zona;0;0;0;0;0;;0;0;0;0;0;
ADRALL 220;50004;Cataluña;;;;;✓;✓;220; N/A ;  ;220;49;E209_SEPE;;Si. Caso b);166;E209_SEPE;;1165;0;;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;Valor de referencia no acordado. Valor de referencia no acordado en la zona estática. ;;;;;;
AENA 220;50005;Comunidad de Madrid;;✓;;;✓;;731; N/A ;  ;731;25;N/A;;No;25;N/A;;0;0;;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;Valor de referencia no acordado. ;;;;;;
AENA OESTE 220;50006;Cataluña;;;;;✓;;683; N/A ;  ;683;133;E290_SEPE, E402_SEPE;;No;273;E290_SEPE, E402_SEPE;;0;0;0;N/A;60;0;60;0;0;0;0;0;0;60;0;0;0;0;0;;;;;;;;;;;;;;;;Valor de referencia no acordado en la zona estática. ;;;;;;
AEROPUERTO BARCELONA 220;50007;Cataluña;;;✓;;✓;;691; N/A ;  ;691;88;E290_SEPE, E402_SEPE;;No;273;E290_SEPE, E402_SEPE;;0;0;;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;Valor de referencia no acordado. Valor de referencia no acordado en la zona estática. ;;;;;;
AGUACATE 220;50008;Comunidad de Madrid;;;;;✓;;900; N/A ;  ;900;27;E213_SEPE, E373_SEPE;;No;493;E213_SEPE, E373_SEPE;;0;0;;NO;0;0;0;0;0;11;0;11;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;Valor de referencia no acordado. Valor de referencia no acordado en la zona estática. ;;;;;;
AGUAYO 400;50009;Cantabria;✓;✓;;;;;648; N/A ;  ;648;1148;N/A;768;No;1762;N/A;768;0;0;0;N/A;0;0;0;0;0;994;994;0;0;0;0;0;0;0;0;0;0;0;0;0;Din1_Zona;Din2_Zona;Din1_Zona;Din1_Zona;Din1_Zona;0;0;0;0;0;;0;0;0;0;0;
AGUAYO 220;50009;Cantabria;✓;✓;✓;;;;460; N/A ;  ;460;1022;N/A;960;No;1331;N/A;960;98;0;0;N/A;9;0;9;0;0;362;362;0;0;9;0;0;0;0;0;98;0;98;98;98;Din1_Zona;Din2_Zona;Din1_Zona;Din1_Zona;Din1_Zona;0;0;0;0;0;;98;0;98;98;98;
AGÜIMES 66;50702;Canarias;✓;;;;;;22; N/A ;  ;22;53;E08_SEC;;No;63;E08_SEC;;43;0;0;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;Valor de referencia no acordado en la zona estática. ;;;;;;
ALARCOS 220;50010;Castilla-La Mancha;;✓;;;✓;;207; N/A ;  ;207;490;N/A;130;No;651;N/A;291;1096;0;360;SI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;0;130;291;291;Est_Dem_Nudo;Din2_Zona;Est_Dem_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;0;0;0;0;0;;130;0;130;291;291;
ALBAL 220;50011;Comunidad Valenciana;;;;;✓;;647; N/A ;  ;647;72;N/A;;No;306;N/A;;1042;0;;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;Valor de referencia no acordado. ;;;;;;
ALBARELLOS 220;50012;Galicia;✓;;;;✓;;1; N/A ;  ;1;272;E1_SEPE;262;Si. Caso b);290;E1_SEPE;280;1274;0;10;SI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;262;280;280;WSCR_Nudo;Din2_Zona;Est_Dem_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;0;0;0;0;0;;1;0;262;280;280;
ALBATARREC 220;50013;Cataluña;;✓;;;✓;;324; N/A ;  ;324;94;E204_SEPE;;No;186;E204_SEPE;;0;0;;NO;0;0;0;0;0;9;9;0;0;0;0;0;0;0;20;;;;;;;;;;;;;;;;Valor de referencia no acordado. ;;;;;;
ALCIRA 220;50014;Comunidad Valenciana;;;;;✓;;114; N/A ;  ;114;500;E240_SEPE;;Si. Caso b);722;E240_SEPE;;665;0;;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;Valor de referencia no acordado. Valor de referencia no acordado en la zona estática. ;;;;;;
ALCOBENDAS 220;50015;Comunidad de Madrid;;;;;✓;;394; N/A ;  ;394;396;N/A;279;No;894;N/A;777;0;0;117;SI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Din1_Zona;Din2_Zona;Din1_Zona;Din1_Zona;Din1_Zona;0;0;0;0;0;;0;0;0;0;0;
ALCOCERO DE MOLA 220;50016;Castilla y León;✓;✓;;;;✓;1; N/A ;  ;1;646;E178_SEPE;517;No;945;E178_SEPE;564;1249;0;100;SI;0;0;0;0;0;50;50;0;0;0;0;0;0;0;519;1;0;517;564;564;WSCR_Nudo;Din2_Zona;Est_Dem_Zona;Est_Alm_Zona;Est_Alm_Zona;0;0;0;0;0;;1;0;517;564;564;
ALCORES 220;50017;Andalucía;;;;;✓;;70; N/A ;  ;70;195;E42_SEPE;;No ;511;E42_SEPE;;1021;0;;NO;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;Valor de referencia no acordado. Valor de referencia no acordado en la zona estática. ;;;;;;
ALCUDIA BALEARES 66;50018;Islas Baleares;;;;;✓;;29; N/A ; Riesgo interacciones ;29;51;N/A;;No;57;N/A;;0;0;;NO;0;0;0;0;0;30;0;30;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;Valor de referencia no acordado. ;;;;;;
ALDAIA 220;50019;Comunidad Valenciana;;✓;;;✓;;569; N/A ;  ;569;182;E185_SEPE;;No;423;E185_SEPE;;1235;0;;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;Valor de referencia no acordado. ;;;;;;
ALDEA BLANCA 66;50020;Canarias;✓;;;;✓;;13; N/A ;  ;13;50;E08_SEC;;No;64;E08_SEC;;0;0;;NO;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;Valor de referencia no acordado. Valor de referencia no acordado en la zona estática. ;;;;;;
ALDEADAVILA 400;50021;Castilla y León;✓;;;;;;1.209; N/A ;  ;1.209;1085;N/A;1085;No;3200;N/A;2772;0;0;0;N/A;0;0;0;0;0;428;428;0;0;0;0;0;0;0;0;0;0;0;0;0;Din1_Zona;Din2_Zona;Din1_Zona;Din1_Zona;Din1_Zona;0;0;0;0;0;;0;0;0;0;0;
ALDEADAVILA 220;50021;Castilla y León;✓;;;;;;860; N/A ;  ;860;1232;N/A;1232;No;1708;N/A;1708;730;0;0;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;730;0;730;730;730;Din1_Zona;Din2_Zona;Din1_Zona;Din1_Zona;Din1_Zona;0;0;0;0;0;;730;0;730;730;730;
ALGECIRAS 220;50022;Andalucía;✓;;;✓;✓;;700; N/A ;  ;700;249;N/A;;No;1121;N/A;;1122;0;;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;765;0;;;;;;;;;;;;;;;;Valor de referencia no acordado. ;;;;;;SI
ALGECIRAS 132;50022;Andalucía;;;;;;;44; N/A ;  ;44;150;E349_SEPE;110;No ;1121;E349_SEPE;1078;0;0;0;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Din1_Zona;Din2_Zona;Din1_Zona;Din1_Zona;Din1_Zona;0;0;0;0;0;;0;0;0;0;0;
ALGETE 220;50023;Comunidad de Madrid;;✓;;✓;✓;;803; N/A ;  ;803;371;N/A;271;No;546;N/A;446;0;0;100;SI;0;0;0;0;0;0;0;0;0;0;0;0;0;465;0;0;0;0;0;0;Din1_Zona;Din2_Zona;Din1_Zona;Din1_Zona;Din1_Zona;0;0;0;0;0;;0;0;0;0;0;SI
ALHAURIN 220;50024;Andalucía;;✓;;;✓;;448; N/A ;  ;448;185;E387_SEPE;;No;325;E387_SEPE;;1100;0;;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;Valor de referencia no acordado. Valor de referencia no acordado en la zona estática. ;;;;;;
ALI 220;50025;País Vasco;;;;;✓;✓;261; N/A ;  ;261;607;E335_SEPE;;Si. Caso b);787;E335_SEPE;;530;0;;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;Valor de referencia no acordado. ;;;;;;
ALJARAFE 220;50026;Andalucía;;;;;✓;;487; N/A ;  ;487;126;E368_SEPE;;Si. Caso c);458;E368_SEPE;;1026;0;;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;Valor de referencia no acordado. Valor de referencia no acordado en la zona estática. ;;;;;;
ALMADEN 400;51411;Castilla-La Mancha;;;;;;;548; N/A ;  ;548;722;N/A;707;No ;987;N/A;972;1257;0;0;N/A;15;0;15;0;0;0;0;0;0;15;0;0;0;0;0;548;0;707;972;972;WSCR_Nudo;Din2_Zona;Est_Dem_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;0;0;0;0;0;;548;0;707;972;972;
ALMARAZ CN 400;50027;Extremadura;✓;✓;;;;;1.369; N/A ;  ;1.154;1992;N/A;1777;No ;3672;N/A;3063;0;0;0;N/A;215;215;215;0;0;394;394;0;0;0;215;0;0;0;0;0;0;0;0;0;Din1_Zona;Din2_Zona;Din1_Zona;Din1_Zona;Din1_Zona;0;0;0;0;0;;0;0;0;0;0;
ALMARAZ CN 220;50027;Extremadura;;;;;;;507; N/A ;  ;507;310;N/A;310;Si. Caso c);966;N/A;966;494;0;0;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;310;0;310;494;494;Est_Dem_Nudo;Din2_Zona;Est_Dem_Nudo;Din1_Zona;Din1_Zona;0;0;0;0;0;;310;0;310;494;494;
ALMARAZ E.T. 220;50028;Extremadura;✓;✓;;;✓;;218; N/A ;  ;218;382;E16_SEPE;;No;552;E16_SEPE;;494;0;;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;Valor de referencia no acordado. Valor de referencia no acordado en la zona estática. ;;;;;;
ALMAZAN 400;50029;Castilla y León;✓;;;;✓;;153; N/A ;  ;128;794;N/A;469;Si. Caso a);1874;N/A;1541;1246;0;300;SI;25;25;25;0;0;8;8;0;0;0;25;0;0;0;0;128;0;469;1246;1246;WSCR_Nudo;Din2_Zona;Est_Dem_Nudo;Din1_Zona;Din1_Zona;0;0;0;0;0;;128;0;469;1246;1246;
ALMENDRALES 400;51416;Aragón;✓;✓;;;;;737; N/A ;  ;737;0;N/A;0;Si. Caso a);609;N/A;609;0;0;0;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Est_Dem_Nudo/Din1_Zona;Est_Dem_Nudo/Din2_Zona;Est_Dem_Nudo/Din1_Zona;Din1_Zona;Din1_Zona;0;0;0;0;0;;0;0;0;0;0;
